time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2001-01-01,24.2,23.1,29.2,4.1,113.0,9.4,1010.0
2001-01-02,24.0,19.8,28.8,0.8,113.0,9.4,1010.0
2001-01-03,23.0,19.4,31.0,0.8,113.0,10.2,1010.0
2001-01-04,23.8,19.4,29.8,0.8,113.0,9.4,1010.0
2001-01-05,25.7,21.7,29.7,0.8,113.0,10.3,1010.0
2001-01-06,27.2,22.5,29.7,0.8,113.0,8.0,1010.0
2001-01-07,27.2,24.2,32.0,0.8,113.0,9.4,1010.0
2001-01-08,27.3,24.2,32.0,0.8,113.0,9.4,1010.0
2001-01-09,27.4,23.4,31.1,0.8,113.0,9.4,1010.0
2001-01-10,26.6,22.5,30.4,0.8,113.0,9.4,1010.0
2001-01-11,27.0,21.8,32.0,0.8,113.0,9.4,1010.0
2001-01-12,26.4,22.7,31.4,0.8,113.0,9.4,1010.0
2001-01-13,27.4,22.8,33.2,0.8,113.0,8.5,1010.0
2001-01-14,26.8,25.1,31.4,0.8,113.0,9.4,1010.0
2001-01-15,25.4,24.2,29.4,0.8,113.0,9.4,1010.0
2001-01-16,25.2,22.2,28.8,0.8,113.0,9.4,1010.0
2001-01-17,25.5,23.7,29.0,0.8,105.0,11.6,1010.0
2001-01-18,25.0,21.0,29.4,0.8,117.0,11.3,1010.0
2001-01-19,25.5,22.0,30.0,0.8,113.0,7.5,1010.0
2001-01-20,25.2,24.2,30.0,0.8,113.0,9.4,1010.0
2001-01-21,24.2,20.0,30.4,0.8,113.0,9.4,1010.0
2001-01-22,26.0,21.2,30.8,0.8,117.0,16.4,1010.0
2001-01-23,25.8,20.8,31.6,0.8,113.0,9.4,1010.0
2001-01-24,26.6,21.4,30.7,0.8,103.0,11.1,1010.0
2001-01-25,27.4,22.4,33.2,0.5,113.0,9.4,1010.0
2001-01-26,28.8,24.7,33.4,0.0,113.0,9.4,1010.0
2001-01-27,28.0,24.8,32.0,0.8,113.0,9.4,1010.0
2001-01-28,27.0,25.3,29.5,0.8,113.0,9.4,1010.0
2001-01-29,27.0,22.0,30.2,0.8,113.0,9.4,1010.0
2001-01-30,27.0,23.4,30.9,0.8,113.0,7.5,1010.0
2001-01-31,27.6,24.2,32.0,0.8,113.0,9.4,1010.0
2001-02-01,28.6,24.2,33.4,0.8,113.0,9.4,1010.0
2001-02-02,26.8,24.2,31.6,0.8,113.0,9.4,1010.0
2001-02-03,25.6,23.4,30.6,0.8,111.0,9.9,1010.0
2001-02-04,25.5,24.4,31.2,0.8,113.0,6.7,1010.0
2001-02-05,25.8,20.6,32.1,0.8,113.0,11.3,1010.0
2001-02-06,25.6,20.7,30.8,0.8,113.0,9.4,1010.0
2001-02-07,26.6,21.0,31.2,0.8,113.0,10.2,1010.0
2001-02-08,27.8,23.7,33.4,0.8,113.0,9.4,1010.0
2001-02-09,27.2,22.0,32.4,0.8,113.0,9.4,1010.0
2001-02-10,25.2,23.8,28.0,0.8,113.0,6.9,1010.0
2001-02-11,26.4,24.5,31.6,0.8,113.0,9.4,1010.0
2001-02-12,27.2,22.5,31.8,0.8,113.0,9.4,1010.0
2001-02-13,26.6,24.3,32.8,0.8,113.0,9.4,1010.0
2001-02-14,26.8,21.2,32.6,0.8,113.0,9.4,1010.0
2001-02-15,26.0,23.3,31.6,0.8,113.0,9.4,1010.0
2001-02-16,24.7,23.7,30.2,0.8,74.0,15.4,1010.0
2001-02-17,25.6,20.7,31.8,0.8,113.0,9.4,1010.0
2001-02-18,25.2,21.7,30.6,0.8,113.0,9.4,1010.0
2001-02-19,24.4,12.0,32.0,8.9,113.0,9.4,1010.0
2001-02-20,24.8,22.7,29.6,8.9,113.0,5.1,1010.0
2001-02-21,25.2,22.6,29.8,33.0,113.0,9.4,1010.0
2001-02-22,27.0,23.5,31.4,19.8,129.0,13.6,1010.0
2001-02-23,26.6,24.2,31.4,0.0,113.0,9.4,1010.0
2001-02-24,27.2,22.6,32.2,0.8,113.0,9.4,1010.0
2001-02-25,26.0,24.2,30.8,0.8,113.0,9.4,1010.0
2001-02-26,26.6,21.4,30.8,0.8,113.0,9.4,1010.0
2001-02-27,26.2,24.3,30.4,0.8,113.0,9.4,1010.0
2001-02-28,28.0,22.2,33.1,0.8,113.0,9.4,1010.0
2001-03-01,26.2,22.0,31.6,0.8,113.0,9.4,1010.0
2001-03-02,27.4,22.6,32.8,0.8,113.0,9.4,1010.0
2001-03-03,26.0,24.7,30.8,0.8,103.0,9.9,1010.0
2001-03-04,26.6,24.6,31.8,0.8,113.0,10.7,1010.0
2001-03-05,26.0,21.4,30.7,0.8,112.0,14.7,1010.0
2001-03-06,27.6,22.6,31.4,0.8,108.0,11.9,1010.0
2001-03-07,28.2,22.4,34.4,0.8,113.0,9.4,1010.0
2001-03-08,27.2,23.9,32.4,0.8,113.0,9.4,1010.0
2001-03-09,25.8,24.4,29.6,1.0,113.0,9.4,1010.0
2001-03-10,28.0,22.7,32.1,1.0,113.0,9.4,1010.0
2001-03-11,26.4,21.2,31.8,0.0,113.0,9.4,1010.0
2001-03-12,26.6,20.8,32.0,0.8,113.0,9.4,1010.0
2001-03-13,26.0,21.8,31.4,0.8,113.0,9.4,1010.0
2001-03-14,26.4,21.4,31.4,0.8,113.0,9.4,1010.0
2001-03-15,28.0,22.5,32.0,0.8,113.0,9.4,1010.0
2001-03-16,28.2,24.4,32.0,0.8,113.0,9.4,1010.0
2001-03-17,29.1,25.0,32.0,0.8,113.0,9.4,1010.0
